Continent ID,Continent,Country ID,Country,ISO 3,Trade Value
af,Africa,afago,Angola,ago,544258991
af,Africa,afciv,Cote d'Ivoire,civ,626755546
af,Africa,afcmr,Cameroon,cmr,381357202
af,Africa,afcog,Republic of the Congo,cog,171429500
af,Africa,afcpv,Cape Verde,cpv,7668303
af,Africa,afdza,Algeria,dza,1211923673
af,Africa,afegy,Egypt,egy,2766366807
af,Africa,afeth,Ethiopia,eth,663990510
af,Africa,afgab,Gabon,gab,88571126
af,Africa,afgha,Ghana,gha,1370600387
af,Africa,afgin,Guinea,gin,403846992
af,Africa,afken,Kenya,ken,1300138620
af,Africa,aflbr,Liberia,lbr,143680698
af,Africa,aflby,Libya,lby,550296699
af,Africa,afmar,Morocco,mar,922202587
af,Africa,afmdg,Madagascar,mdg,207795541
af,Africa,afmli,Mali,mli,134338421
af,Africa,afmoz,Mozambique,moz,415497274
af,Africa,afmrt,Mauritania,mrt,88468333
af,Africa,afmus,Mauritius,mus,284093897
af,Africa,afmwi,Malawi,mwi,36426488
af,Africa,afner,Niger,ner,20448762
af,Africa,afnga,Nigeria,nga,4763598735
af,Africa,afrwa,Rwanda,rwa,65428005
af,Africa,afsdn,Sudan,sdn,585158655
af,Africa,afsen,Senegal,sen,701680779
af,Africa,aftcd,Chad,tcd,16187533
af,Africa,aftun,Tunisia,tun,349440089
af,Africa,aftza,Tanzania,tza,1013722083
af,Africa,afuga,Uganda,uga,100196880
af,Africa,afzaf,South Africa,zaf,3595542878
af,Africa,afzmb,Zambia,zmb,185515469
af,Africa,afzwe,Zimbabwe,zwe,34716490
as,Asia,asafg,Afghanistan,afg,73943408
as,Asia,asare,United Arab Emirates,are,7754012526
as,Asia,asarm,Armenia,arm,52346882
as,Asia,asaze,Azerbaijan,aze,123875197
as,Asia,asbgd,Bangladesh,bgd,2987597615
as,Asia,ascyp,Cyprus,cyp,132408474
as,Asia,asgeo,Georgia,geo,198403914
as,Asia,asidn,Indonesia,idn,10815688795
as,Asia,asind,India,ind,18960055551
as,Asia,asirn,Iran,irn,1569555397
as,Asia,asirq,Iraq,irq,1811529788
as,Asia,asisr,Israel,isr,2131002731
as,Asia,asjor,Jordan,jor,808285835
as,Asia,asjpn,Japan,jpn,22398994007
as,Asia,askaz,Kazakhstan,kaz,651069071
as,Asia,askgz,Kyrgyzstan,kgz,217629679
as,Asia,askhm,Cambodia,khm,2113459243
as,Asia,askor,South Korea,kor,15432215801
as,Asia,askwt,Kuwait,kwt,1064977069
as,Asia,aslao,Laos,lao,159200503
as,Asia,aslbn,Lebanon,lbn,428196232
as,Asia,aslka,Sri Lanka,lka,913656388
as,Asia,asmdv,Maldives,mdv,114723549
as,Asia,asmmr,Burma,mmr,1483667674
as,Asia,asmng,Mongolia,mng,139284291
as,Asia,asmys,Malaysia,mys,11689359234
as,Asia,asnpl,Nepal,npl,255849035
as,Asia,asomn,Oman,omn,514911919
as,Asia,aspak,Pakistan,pak,2135369503
as,Asia,asphl,Philippines,phl,8553460406
as,Asia,asprk,North Korea,prk,861481605
as,Asia,asqat,Qatar,qat,690097924
as,Asia,assau,Saudi Arabia,sau,6118543210
as,Asia,assgp,Singapore,sgp,10445811805
as,Asia,assyr,Syria,syr,247930900
as,Asia,astha,Thailand,tha,8805834988
as,Asia,astjk,Tajikistan,tjk,58254467
as,Asia,astkm,Turkmenistan,tkm,24778252
as,Asia,astur,Turkey,tur,3151124973
as,Asia,astwn,Taiwan,twn,7904636475
as,Asia,asuzb,Uzbekistan,uzb,479765078
as,Asia,asvnm,Vietnam,vnm,14206775909
as,Asia,asyem,Yemen,yem,406018355
eu,Europe,eualb,Albania,alb,93541193
eu,Europe,euaut,Austria,aut,616895053
eu,Europe,eubel,Belgium,bel,3740339711
eu,Europe,eubgr,Bulgaria,bgr,274212881
eu,Europe,eubih,Bosnia and Herzegovina,bih,25908643
eu,Europe,eublr,Belarus,blr,269331623
eu,Europe,euche,Switzerland,che,780967709
eu,Europe,eucze,Czechia,cze,2918135447
eu,Europe,eudeu,Germany,deu,15679643132
eu,Europe,eudnk,Denmark,dnk,1001731856
eu,Europe,euesp,Spain,esp,5457512965
eu,Europe,euest,Estonia,est,193098142
eu,Europe,eufin,Finland,fin,521011477
eu,Europe,eufra,France,fra,8190537193
eu,Europe,eugbr,United Kingdom,gbr,14984520725
eu,Europe,eugrc,Greece,grc,1574033606
eu,Europe,euhrv,Croatia,hrv,289111887
eu,Europe,euhun,Hungary,hun,2862939200
eu,Europe,euirl,Ireland,irl,583383683
eu,Europe,euisl,Iceland,isl,24951818
eu,Europe,euita,Italy,ita,7313070192
eu,Europe,eultu,Lithuania,ltu,313628833
eu,Europe,eulux,Luxembourg,lux,32024692
eu,Europe,eulva,Latvia,lva,216694053
eu,Europe,eumda,Moldova,mda,29122578
eu,Europe,eumkd,North Macedonia,mkd,26948500
eu,Europe,eunld,Netherlands,nld,15471286680
eu,Europe,eunor,Norway,nor,570978769
eu,Europe,eupol,Poland,pol,4455098933
eu,Europe,euprt,Portugal,prt,719965164
eu,Europe,eurou,Romania,rou,819370015
eu,Europe,eurus,Russia,rus,8386570798
eu,Europe,eusrb,Serbia,srb,202639991
eu,Europe,eusvk,Slovakia,svk,521130073
eu,Europe,eusvn,Slovenia,svn,664526633
eu,Europe,euswe,Sweden,swe,1609670972
eu,Europe,euukr,Ukraine,ukr,1245184287
na,North America,naabw,Aruba,abw,12286977
na,North America,nabhs,Bahamas,bhs,54970260
na,North America,nablz,Belize,blz,24041396
na,North America,nabmu,Bermuda,bmu,10868920
na,North America,nabrb,Barbados,brb,32389054
na,North America,nacan,Canada,can,8284802113
na,North America,nacri,Costa Rica,cri,378180804
na,North America,nacub,Cuba,cub,93724655
na,North America,nadom,Dominican Republic,dom,563445251
na,North America,nagrl,Greenland,grl,468169
na,North America,nagtm,Guatemala,gtm,463154147
na,North America,nahnd,Honduras,hnd,207705951
na,North America,nahti,Haiti,hti,146068715
na,North America,najam,Jamaica,jam,131674801
na,North America,namex,Mexico,mex,11195366841
na,North America,namtq,Martinique,mtq,8411564
na,North America,nanic,Nicaragua,nic,135700347
na,North America,napan,Panama,pan,1556632479
na,North America,napri,Puerto Rico,pri,173295194
na,North America,naslv,El Salvador,slv,168246803
na,North America,natto,Trinidad and Tobago,tto,79395261
na,North America,nausa,United States,usa,1.01E+11
oc,Oceania,ocaus,Australia,aus,8871820043
oc,Oceania,ocfji,Fiji,fji,83887760
oc,Oceania,ocnzl,New Zealand,nzl,1197383038
oc,Oceania,ocpng,Papua New Guinea,png,108004063
oc,Oceania,ocwsm,Samoa,wsm,20086255
sa,South America,saarg,Argentina,arg,1006893460
sa,South America,sabol,Bolivia,bol,148395017
sa,South America,sabra,Brazil,bra,5477176974
sa,South America,sachl,Chile,chl,2353782753
sa,South America,sacol,Colombia,col,2066601608
sa,South America,saecu,Ecuador,ecu,468814220
sa,South America,saper,Peru,per,1346483397
sa,South America,sapry,Paraguay,pry,280346967
sa,South America,saury,Uruguay,ury,380889064
sa,South America,saven,Venezuela,ven,255368466
